,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
00001-00361.roi,51.16419796124795,59.617911066162605,29.46894188628746,52.745209447927806,40.85379470657543,17.064590405530886,37.53663083148706,8.816860352314333,34.24608274589741,18.209707053294892,36.285115461406285,28.83392855209534,31.104272185742293,27.52444672119489,30.48156923252091,34.17700594883261,36.81830239977126,30.05814325795711,37.61350895722981,24.482686718537845,25.556677564670796,36.63831266470455,27.428388859997813,38.61058276359325,32.89986766249034
00002-00006.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004383174968755555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00003-00410.roi,30.107174480477475,58.37327908196614,39.29955841084503,64.9961158788935,59.984486703064775,41.0072269451127,89.22846231024474,52.39832206844659,167.705449526067,157.1456938042276,337.76749393494714,409.8964442927948,588.1325797199827,803.1962802716384,957.2961313950021,1122.906292603154,1169.823821417258,1003.200009545733,1177.1659641384813,786.8490041172868,851.4117112770567,1074.975779814608,896.0882979398631,1151.462548493485,1012.6754225917724
00004-00069.roi,40.61851760508025,176.59634229464936,74.57733819132827,162.46976253192435,115.58406189512979,44.652241486853804,102.84877193061114,46.027114539162085,183.45396685583233,161.83994238856766,386.1502405105073,395.8793249003433,506.1658645755916,668.2827261510689,638.0673067608868,796.1502775875203,853.9170776522373,737.261018231491,904.5479418216393,612.4157697778402,690.0344598162042,896.702703499606,762.6774562900996,1060.0390548104579,962.1356214068206
00005-00169.roi,3.1981544321593254,15.35142614311027,5.245010899501985,13.467755801542202,12.845723136793556,8.741840491992562,19.159646825220037,12.28457925804262,66.11057519888153,48.80413735820889,138.0609326522184,167.844792071309,241.06518970358823,479.8406885541195,313.19610625514514,377.9967247137036,369.28540575260166,298.66897537846233,394.47873433902475,217.11611849939428,239.34283822949936,324.90721158802324,265.2455512734389,405.11793153565776,322.4888381214378
00006-00145.roi,13.238305559368598,60.23971864349698,27.351548942210098,72.2858872418535,68.16454670669619,101.50407569124373,99.19517399583245,59.77356097248023,277.4932022500897,232.87905371614772,566.5092168975364,679.5790840711938,782.332293388882,1134.3545291376581,860.696726338968,1007.7103056104072,948.6553481794367,836.476472370394,968.2926621295552,566.2136029870985,609.0945446698681,824.551071506414,648.7695349505387,1003.5379247567066,765.2437034938215
00007-00062.roi,3.387119591194839,40.35140467568942,19.397443521317964,52.5700205957796,38.24702058585903,103.52867364038022,122.96112149833449,70.69178780399514,430.0953714944296,286.53319526283974,710.5845044850554,685.0573571637915,732.2449526781681,1171.754390260102,804.9602980503313,965.9635649522822,875.1764914499452,783.0128658425514,896.9376888899636,492.14207056123354,541.6796921810777,756.8565988629344,596.3340701605717,955.9295935070007,709.2414255033673
00008-00068.roi,7.765223589890803,39.48543417028129,7.349799919412601,14.003752975119374,12.83021236392036,36.654712741319734,29.67696583810467,10.576780598415937,120.28671686847895,33.93672580812116,85.38749819832907,70.57665586141184,91.31664698822354,220.45676747919202,85.59273155934379,159.59083081314668,142.7009702105888,93.53807067738943,128.13454732605695,60.084215329131446,68.78561473840374,120.63063289172858,84.60102024766394,177.0363400322687,112.49447421932557
00009-00009.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00010-00213.roi,48.43847274381272,47.78038384450295,87.20292612780878,81.77805903814006,76.65813710733596,251.93622841778466,155.73090749689896,490.0187441474678,526.7552581608705,987.6504811744292,830.7347255255731,1538.5265496827858,772.4671118101774,1279.316571014715,722.1139753358145,777.9592302067414,697.0763515617537,651.8953796417096,716.4420107949512,1176.2272758653935,537.4219514842285,628.3302126727941,509.9946506185039,675.6293646985216,570.2160693156403
00011-00092.roi,5.06738743495223,7.3583705056219415,25.3479712842689,21.18579897018047,20.207934624896616,87.25279167633069,63.92533163419763,329.44129699862276,244.91047657611895,699.8454329451722,432.96660194856736,1026.1889871082826,392.77517360016526,586.9297917994714,392.98866473580375,404.56841128800903,376.8827392011297,362.1716619705145,368.4535278535369,948.4773100727947,302.36279907542644,346.96801375088626,294.36874049319516,369.84635934356527,318.3036687389612
00012-00008.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00013-00011.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00014-00020.roi,25.46042622088221,106.18548334858669,30.904072265625285,41.29170441215453,61.30378620126984,49.20836302403183,134.1627926108274,262.83528258940225,239.84023663957498,555.3513758184662,843.478623082297,505.8044952061648,663.0684607762558,521.9200894985318,531.0352606199212,399.65753994153914,558.1322984494478,401.65250706081844,424.45830756912926,445.41271772491314,506.33237958587324,488.9777798020412,428.07602375282806,417.17918885236327,418.7421145191771
00015-00474.roi,70.60071354325098,73.91904152915956,143.19355336544015,279.55301508834845,459.8872366486371,477.68196037259,706.0837080354024,1150.843827162056,1139.874894484266,2151.4328692863664,2119.575066172345,2471.6918560966174,2336.7726668518458,1829.7714027995544,2266.773930775682,2255.468534041266,1472.1329214598884,1840.7553181633875,1903.6993461887705,2183.8545774249687,1867.220262730533,1661.0318969634038,1652.686086925833,1666.4247684842876,1468.159612058472
00016-00046.roi,0.8164287820434676,0.04185456797711421,0.40352085221462436,22.45076784299703,33.72311933444122,21.921499098385397,98.46730901004028,46.84159280979577,152.23112970252922,248.6819111630538,385.56020448830145,336.541646372282,412.9429410032257,381.2754515354844,363.97187500729245,411.9788682494887,238.18741376641225,478.1991268786936,484.3174830249342,415.97770557145884,428.32569635543393,371.73176420960345,413.8668114529331,406.8444175298682,334.5045449684428
00017-00039.roi,2.31035209207471,0.0073837955424872785,14.905435602669694,97.5065150043169,90.59576422741021,227.16311512386446,201.05633652829752,149.03194664154992,632.8399448749088,344.9689625674135,673.9421302903542,387.3866102606029,535.9054964343895,669.446661614437,869.463703396203,414.90132304356126,854.7289812706917,634.0562574668656,548.1606146028389,412.37839265627593,477.0470353811133,544.1655523451524,500.7229532038816,418.2698528748249,465.69795329412335
00018-00234.roi,16.616537211970492,17.475938111212294,17.68489623447519,17.468903734904767,60.226987717237975,89.3011842360002,66.91966225753015,167.22489570291336,222.22769575610724,223.606770686013,293.53220271176264,539.7390369079296,514.567929629704,323.2807045415959,579.2316228085033,561.4469543423236,471.09478458128876,304.83177919284304,255.14992569864387,409.4416467930915,234.43923563994443,278.32044288062815,245.3204537408311,208.58515513000674,258.4160262832989
00019-00198.roi,2.5889582248018272,2.9284046149484846,2.2879372766848447,2.4943052649920627,17.281151846822855,17.226539983065763,11.83747876158647,75.6036183648646,59.37952644042571,160.86086766132846,133.9886274447261,321.9875729211576,344.4184533383279,232.29311065837925,347.2994111035063,340.6563476914659,270.05105169610306,237.92457174650315,227.1693798702208,386.2581472952329,220.48013614665973,223.67200436101822,212.1912858596138,197.48076858645112,207.0439250589269
00020-00369.roi,43.72919172103252,45.701882098989195,48.447643066694404,52.49478750241049,213.167058191624,182.47192054908524,116.02273913994529,466.7089176895545,366.3642140364656,708.6744193587801,909.6379916645776,1507.74988147956,1554.516024445569,1431.5637239068667,1469.3192518186636,1473.0809446353296,924.6256036856931,1089.005395470199,1136.15067358754,1481.4844491787383,1112.4177957211336,541.1228874396311,1135.3420418384762,770.6600395943414,462.65366970019465
00021-00016.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00022-00012.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00023-00002.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00024-00163.roi,6.1564566735434445,29.189156877781915,3.8195660332781274,29.750412888583906,35.60618818432768,26.785335611122587,133.21775118243866,135.81024241293477,318.8000097861304,537.8318334917104,868.3295694700832,665.7694390372561,859.9315888582056,1117.6017145321023,767.4458317598703,947.7345092463781,2605.228996787833,2085.6056226939527,1842.3634944974572,1439.1398672209787,1745.0954075327854,2595.4585119233548,1534.924635627085,2170.0789019578624,2396.2243544090293
00025-00325.roi,10.021973686740022,88.28601375863919,5.876907443510164,56.85062065780672,48.524858631961465,26.838376639190958,145.53869059507505,150.17430978024197,395.95922182217663,680.416361204646,1047.499292671996,751.7691953023512,944.4960792663505,1058.5330064103246,863.7392659413088,1035.487850091361,3102.0401998838897,2224.385102796107,1840.027403422525,1480.1615802038632,2007.40161292137,3082.560435730475,1760.0961451225721,2315.346019235497,2844.3115882673214
00026-00017.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00027-00279.roi,1.2976692562875618,23.845569255738006,0.17152268163068055,3.5740571862304655,1.7307536365001335,0.23722377440793005,3.70847228102531,1.3247221468101682,3.386838185998327,3.7632257509259874,3.6204819119012313,0.5876410256207084,0.9427291411150599,1.4205603517797727,0.6371387889891501,0.9036499478062197,7.756516162644145,4.114709425416429,3.260574889298752,2.541141170164343,4.060550710904781,8.285585900698383,3.86265521444138,5.401414690252664,8.657567369209906
00028-00084.roi,0.0013243228929532087,0.24399856042265664,0.0,0.02896932709957795,0.0013697934564471665,0.0,0.030856516496758,0.0002955581458176914,0.016982758730785644,0.02388294827146902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00029-00160.roi,0.4882013127905236,11.874683412653704,0.02617961355978017,0.8385969079641056,0.2757204783767426,0.007864113267491566,1.069482372125376,0.2536927080000487,0.8367262885060784,1.0899459708044883,0.7797099414450589,0.011828278731856469,0.03333939609461423,0.07624322957949362,0.0006482055401383588,0.001991829295861415,1.116047901577429,0.22876957084910138,0.11504395806448836,0.02223734932299087,0.12415075848322424,0.786649272968502,0.10242915437702103,0.194296769543341,0.6754526507788232
00030-00082.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00031-00038.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00032-00050.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00033-00048.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00034-00093.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00035-00081.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05088818693473961,0.0,0.013032917508774807,0.054837634012148764,0.0,0.00203109327856237,0.12846597182781228,0.11018610685441266,0.11644814256422902,0.019182570267612,0.06211862248399579,0.06589751194383998,0.09749308856311328,0.019069728922543168,0.059410048207269105
00036-00143.roi,4.211610614806409,42.929613645055284,94.44935974175992,136.61814312200906,195.39523359710378,406.2046904650316,500.46489674962186,440.1052065620988,1392.7452524627884,1222.701853155798,2228.2743291001593,1479.8872589349985,1953.715498325641,2461.160321796299,1878.6732359333057,1350.6986283193323,2626.1463909417093,2080.0350715470236,1829.0423140232253,1302.4205274997726,1638.7125371949803,1933.779990075384,1739.1861009763709,1351.7405242312075,1566.7710285824571
00037-00109.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00038-00711.roi,77.66285428232469,119.48683876833582,233.45863406228494,214.3849273585519,425.73272574416444,720.0456927104567,587.6973579837389,1173.343169314524,1699.9392173034662,2066.6725773555886,1846.1141347311238,2522.0877748235625,2093.938205141215,2594.037410877642,2143.663058687937,2128.33494256852,1283.5390903229243,1535.4692050428794,1587.9884010228095,1918.1441737894202,1550.2587072559281,1365.4996274852758,1363.641432496198,1353.1645257561765,1210.650725257935
00039-00696.roi,57.150861162087,69.5222676943956,47.27615341122264,271.8079147508404,319.1475952884377,192.16382591996202,627.253768175076,800.8570669637425,1281.6788617961051,1754.214265248847,2251.3962752606244,2153.0952124407795,2337.321022137409,2601.748365721707,1628.9509520624645,1666.890341260029,2018.7037424686632,2633.2729497370974,2527.9464876290626,2398.3313617834547,2490.8025343462527,1816.809745302969,2371.2011340125828,2061.129958186345,1583.528967872787
00040-00539.roi,28.08809283536238,117.2077498533466,196.81587025406932,217.47365218566063,264.44972783666276,606.3945415761605,641.2116137773554,648.6789537170475,1512.2078654913194,1252.605484628441,2244.2288715220675,1714.1312429394557,1968.5677547821965,2200.6520451167353,2136.833983468085,1672.927482451145,2447.1346554886945,2014.351920260083,1800.8750786239664,1476.1618048564762,1688.3003021820755,1894.1303998853552,1729.0724102599647,1490.5278278127103,1683.2702551695559
