Chip,Hour,Droplet,Bacteria Count
C7,00h,00001-00015.roi,0
C7,00h,00002-00064.roi,53
C7,00h,00003-00266.roi,654
C7,00h,00004-00208.roi,377
C7,00h,00005-00581.roi,2146
C7,00h,00006-00165.roi,0
C7,00h,00007-00065.roi,0
C7,00h,00008-00128.roi,0
C7,00h,00009-00025.roi,0
C7,00h,00010-00023.roi,0
C7,00h,00011-00688.roi,2598
C7,00h,00012-00232.roi,129
C7,00h,00013-00173.roi,290
C7,00h,00014-00159.roi,450
C7,00h,00015-00253.roi,2131
C7,00h,00016-00076.roi,0
C7,00h,00017-00214.roi,1004
C7,00h,00018-00279.roi,754
C7,00h,00019-00106.roi,67
C7,00h,00020-00150.roi,310
C7,00h,00021-00066.roi,0
C7,00h,00022-00163.roi,72
C7,00h,00023-00052.roi,0
C7,00h,00024-00045.roi,59
C7,00h,00025-00120.roi,146
C7,00h,00026-00025.roi,0
C7,00h,00027-00216.roi,68
C7,00h,00028-00044.roi,0
C7,00h,00029-00192.roi,50
C7,00h,00030-00134.roi,0
C7,00h,00031-00150.roi,56
C7,00h,00032-00224.roi,0
C7,00h,00033-00190.roi,0
C7,00h,00034-00118.roi,0
C7,00h,00035-00448.roi,577
C7,00h,00036-00111.roi,0
C7,00h,00037-00133.roi,0
C7,00h,00038-00212.roi,0
C7,00h,00039-00216.roi,0
C7,00h,00040-00148.roi,0
C7,00h,00041-00155.roi,0
C7,00h,00042-00194.roi,0
C7,00h,00043-00214.roi,0
C7,00h,00044-00222.roi,0
C7,00h,00045-00193.roi,0
C7,00h,00046-00299.roi,0
C7,00h,00047-00511.roi,646
C7,00h,00048-00207.roi,0
C7,00h,00049-00351.roi,0
C7,00h,00050-00238.roi,0
C7,00h,00051-00335.roi,0
C7,00h,00052-00283.roi,0
C7,00h,00053-00585.roi,806
C7,00h,00054-00305.roi,0
C7,00h,00055-00347.roi,0
C7,00h,00056-00416.roi,0
C7,00h,00057-00328.roi,0
C7,00h,00058-00746.roi,297
C7,00h,00059-00624.roi,1216
C7,00h,00060-00374.roi,0
C7,00h,00061-00345.roi,0
C7,00h,00062-00339.roi,0
C7,00h,00063-00577.roi,634
C7,00h,00064-00395.roi,0
C7,00h,00065-00424.roi,68
C7,00h,00066-00567.roi,42
C7,00h,00067-00637.roi,469
C7,00h,00068-00381.roi,0
C7,00h,00069-00395.roi,0
C7,00h,00070-00438.roi,0
C7,00h,00071-00397.roi,0
C7,00h,00072-00408.roi,0
C7,00h,00073-00435.roi,0
C7,00h,00074-00449.roi,0
C7,00h,00075-00467.roi,0
C7,00h,00076-00538.roi,0
C7,00h,00077-00524.roi,0
C7,00h,00078-00528.roi,0
C7,00h,00079-00510.roi,0
C7,00h,00080-00503.roi,0
C7,00h,00081-00628.roi,65
C7,00h,00082-00525.roi,0
C7,00h,00083-01026.roi,1244
C7,00h,00084-00501.roi,0
C7,00h,00085-00615.roi,0
C7,00h,00086-00805.roi,1006
C7,00h,00087-00535.roi,0
C7,00h,00088-00553.roi,0
C7,00h,00089-00706.roi,0
C7,00h,00090-00834.roi,392
C7,00h,00091-00639.roi,0
C7,00h,00092-00605.roi,0
C7,00h,00093-00581.roi,0
C7,00h,00094-00956.roi,538
C7,00h,00095-00649.roi,0
C7,00h,00096-00631.roi,0
C7,00h,00097-00669.roi,0
C7,00h,00098-00628.roi,0
C7,00h,00099-00615.roi,0
C7,00h,00100-00606.roi,0
C7,00h,00101-00797.roi,112
C7,00h,00102-00627.roi,0
C7,00h,00103-00675.roi,0
C7,00h,00104-00765.roi,0
C7,00h,00105-00765.roi,0
C7,00h,00106-00669.roi,0
C7,00h,00107-00695.roi,0
C7,00h,00108-00658.roi,0
C7,00h,00109-00689.roi,0
C7,00h,00110-00988.roi,1281
C7,00h,00111-00709.roi,0
C7,00h,00112-00826.roi,0
C7,00h,00113-00693.roi,0
C7,00h,00114-00703.roi,0
C7,00h,00115-00954.roi,625
C7,00h,00116-01079.roi,1615
C7,00h,00117-00793.roi,0
C7,00h,00118-00788.roi,0
C7,00h,00119-00807.roi,0
C7,00h,00120-00784.roi,0
C7,00h,00121-01956.roi,9233
C7,00h,00122-00839.roi,0
C7,00h,00123-00875.roi,0
C7,00h,00124-00866.roi,0
C7,00h,00125-00921.roi,97
C7,00h,00126-00896.roi,0
C7,00h,00127-00860.roi,0
C7,00h,00128-00872.roi,0
C7,00h,00129-00925.roi,0
C7,00h,00130-01051.roi,113
C7,00h,00131-00877.roi,0
C7,00h,00132-00872.roi,0
C7,00h,00133-00878.roi,0
C7,00h,00134-01375.roi,924
C7,00h,00135-00905.roi,0
C7,00h,00136-00958.roi,0
C7,00h,00137-00954.roi,0
C7,00h,00138-01236.roi,89
C7,00h,00139-00915.roi,0
C7,00h,00140-00937.roi,0
C7,00h,00141-01476.roi,1932
C7,00h,00142-00948.roi,0
C7,00h,00143-01085.roi,191
C7,00h,00144-00978.roi,0
C7,00h,00145-00945.roi,0
C7,00h,00146-00969.roi,0
C7,00h,00147-01045.roi,129
C7,00h,00148-01081.roi,0
C7,00h,00149-00992.roi,0
C7,00h,00150-01002.roi,0
C7,00h,00151-01034.roi,0
C7,00h,00152-01042.roi,0
C7,00h,00153-01052.roi,0
C7,00h,00154-01103.roi,73
C7,00h,00155-01023.roi,0
C7,00h,00156-01512.roi,182
C7,00h,00157-01379.roi,62
C7,00h,00158-01046.roi,0
C7,00h,00159-01183.roi,0
C7,00h,00160-01489.roi,987
C7,00h,00161-01105.roi,0
C7,00h,00162-01382.roi,527
C7,00h,00163-01072.roi,0
C7,00h,00164-01113.roi,0
C7,00h,00165-01082.roi,0
C7,00h,00166-01146.roi,0
C7,00h,00167-01105.roi,0
C7,00h,00168-01115.roi,0
C7,00h,00169-01431.roi,59
C7,00h,00170-01214.roi,124
C7,00h,00171-01197.roi,0
C7,00h,00172-01140.roi,0
C7,00h,00173-01185.roi,0
C7,00h,00174-01166.roi,0
C7,00h,00175-01168.roi,0
C7,00h,00176-01176.roi,0
C7,00h,00177-01214.roi,0
C7,00h,00178-01352.roi,0
C7,00h,00179-01286.roi,0
C7,00h,00180-01204.roi,0
C7,00h,00181-01534.roi,624
C7,00h,00182-01258.roi,0
C7,00h,00183-01261.roi,0
C7,00h,00184-01454.roi,215
C7,00h,00185-01328.roi,0
C7,00h,00186-01324.roi,157
C7,00h,00187-01351.roi,0
C7,00h,00188-01290.roi,0
