,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
00001-00078.roi,57.908633012184765,87.99379818535978,76.70250540848369,40.68675275274676,56.085418064165225,94.5481043388868,34.75360696827461,30.957995178791887,5.447891034274303,30.61453355925988,44.730400731311924,16.983387901094364,20.88002520448699,8.531899499710356,11.80994145083492,61.02394011309748,88.91685708266684,26.221535842755348,88.40405026022243,83.27119477777468,84.72798839086349,80.16596747567793,64.15491104238215,37.149032675753205,64.91704457715082
00002-00195.roi,169.47991232631384,190.78282540614876,176.34779056251406,136.06017771501675,150.14327983336315,165.25257175498774,118.94410501934946,108.89050442903253,28.178059624205897,103.5265515923448,122.17608178642793,65.87617603088621,71.58844888839893,34.210570174834665,47.810989033332945,143.76792640590423,150.2431180856226,75.12662761432885,127.11588285650978,121.6167407310879,127.96554516138808,127.23250197312024,117.09792954318812,101.73167872524839,119.22456187438466
00003-00235.roi,189.36576315920738,197.67593432541616,181.51339024282242,146.02344826986334,135.98944549327533,143.79404613235064,110.24065419404761,103.59393577151185,21.430479047446966,84.72387610556405,100.9699541867899,52.151964625070605,59.80284597464359,23.648253983550337,37.44184644493795,107.29934759361939,111.7964267676972,71.42545245041217,113.05950650299661,110.04869874673567,113.92800600538588,113.7870901444071,106.63702481264441,90.8746122351231,108.33617359565825
00004-00686.roi,237.59130139523612,277.0052778677451,253.2152633494544,220.90792169766675,228.20704267480158,246.68944062635407,166.70447155910335,149.97346338351548,35.315011236475385,150.16880766026404,189.19483389935047,110.2419637172817,122.28039862400523,56.51045835580128,80.52925694220203,216.85339714004576,227.77463635629488,152.07605865960204,230.80672586862394,218.1744232079105,224.62206874726192,73.74750909414753,204.63158083136443,177.10510113962383,199.40403182315424
00005-00193.roi,201.55226865157383,225.6497755850186,222.05886637897456,233.72316324973548,238.14120283100107,177.3976428001025,201.78214445075145,182.15959713552198,57.318221937452115,174.16454399607719,188.29364884681488,157.2272770156413,171.32769081535537,100.40742402102752,138.82367201719336,198.25984119964502,178.85491979665886,184.22591076036352,166.53339783555506,166.42173433408473,173.99284801256618,95.21816879169765,166.95204232507902,164.87940929478856,155.8119945776976
00006-00037.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00007-00013.roi,1.2291062434954099,0.0742978124891619,0.001971466233997892,49.78084970583362,372.17629980711513,0.3061449186487583,0.001971466233997892,0.0,10.720152638049553,0.0,0.0,0.005686936424129473,0.0,0.015923359891240357,0.0,9.697120422201634,0.0,0.06459967789027793,0.020623982482765507,4.072779436669524,0.029950177360895273,16.724952085787866,4.215979351224986,1.123185505218897,0.013724454378016103
00008-00383.roi,361.6288355850023,304.9800623790972,327.2916753736877,367.10167578324604,455.80544276732974,500.0581236632415,737.5963972320834,925.0952505302729,1105.2089098901497,1191.8182166135725,1489.0481548839648,1372.5935238359996,1070.8586832041528,819.4435552299998,622.1106580476535,411.995910610133,408.59779444046836,121.67919195074545,213.00316121477974,279.62386016561663,307.84204206401057,310.3919749352379,268.0971207299283,295.9121157692139,266.04475198680285
00009-00023.roi,0.0,0.0,0.0,0.004251237115996718,0.05753580591867462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010845027164591383,0.0,0.0010845027164591377,0.0,0.00037596075770366646,0.001084502716459138,0.0003759607577036664,0.002400366832075582,0.0014604609650423282,0.0,0.0,0.0003759607577036665,0.0
00010-00066.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00011-00023.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004542118152971201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00012-00041.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00013-00768.roi,292.30868278745265,126.1517347997793,132.44519952626374,154.13017882970755,174.39818266268873,201.2562587214447,248.13152219090162,275.1740752342004,179.6512205420625,81.91604530311007,4.280718175060868,1.791542459507748,1.9562156955902659,2.1943303933965086,1.9617564377606758,2.166376103522298,1.6268988569304326,1.993745450460627,2.144128884017463,2.0582459476364874,2.0931156261274597,2.143246074181338,1.8420353516066599,1.8367429835874587,1.7347313403668863
