Chip,Hour,Droplet,Bacteria Count
C2,00h,00001-00032.roi,0.0
C2,00h,00002-00062.roi,0.0
C2,00h,00003-00120.roi,0.0
C2,00h,00004-00036.roi,0.0
C2,00h,00005-00034.roi,0.0
C2,00h,00006-00031.roi,0.0
C2,00h,00007-00017.roi,0.0
C2,00h,00008-00250.roi,0.0
C2,00h,00009-00246.roi,0.0
C2,00h,00010-00410.roi,0.0
C2,00h,00011-00164.roi,0.0
C2,00h,00012-00248.roi,0.0
C2,00h,00013-00554.roi,0.0
C2,00h,00014-00233.roi,0.0
C2,00h,00015-00065.roi,0.0
C2,00h,00016-00114.roi,0.0
C2,00h,00017-00110.roi,0.0
C2,00h,00018-00137.roi,0.0
C2,00h,00019-00111.roi,0.0
C2,00h,00020-00152.roi,0.0
C2,00h,00021-00025.roi,0.0
C2,00h,00022-00471.roi,0.0
C2,00h,00023-00134.roi,0.0
C2,00h,00024-00380.roi,0.0
C2,00h,00025-00080.roi,0.0
C2,00h,00026-00069.roi,0.0
C2,00h,00027-00006.roi,0.0
C2,00h,00028-00030.roi,0.0
C2,00h,00029-00029.roi,0.0
C2,00h,00030-00176.roi,0.0
C2,00h,00031-00035.roi,0.0
C2,00h,00032-00088.roi,0.0
C2,00h,00033-00289.roi,0.0
C2,00h,00034-00312.roi,0.0
C2,00h,00035-00100.roi,0.0
C2,00h,00036-00118.roi,0.0
C2,00h,00037-00241.roi,0.0
C2,00h,00038-00103.roi,0.0
C2,00h,00039-00407.roi,0.0
C2,00h,00040-00170.roi,0.0
C2,00h,00041-00110.roi,0.0
C2,00h,00042-00322.roi,0.0
C2,00h,00043-00150.roi,0.0
C2,00h,00044-00327.roi,0.0
C2,00h,00045-00447.roi,0.0
C2,00h,00046-00258.roi,0.0
C2,00h,00047-00247.roi,0.0
C2,00h,00048-00167.roi,0.0
C2,00h,00049-00289.roi,0.0
C2,00h,00050-00189.roi,0.0
C2,00h,00051-00274.roi,0.0
C2,00h,00052-00295.roi,0.0
C2,00h,00053-00227.roi,0.0
C2,00h,00054-00293.roi,0.0
C2,00h,00055-00582.roi,0.0
C2,00h,00056-00285.roi,0.0
C2,00h,00057-00203.roi,0.0
C2,00h,00058-00255.roi,0.0
C2,00h,00059-00269.roi,0.0
C2,00h,00060-00453.roi,0.0
C2,00h,00061-00257.roi,0.0
C2,00h,00062-00264.roi,0.0
C2,00h,00063-00353.roi,0.0
C2,00h,00064-00337.roi,0.0
C2,00h,00065-00312.roi,0.0
C2,00h,00066-00617.roi,0.0
C2,00h,00067-00717.roi,0.0
C2,00h,00068-00312.roi,0.0
C2,00h,00069-00330.roi,0.0
C2,00h,00070-00334.roi,0.0
C2,00h,00071-00352.roi,0.0
C2,00h,00072-00570.roi,0.0
C2,00h,00073-00361.roi,0.0
C2,00h,00074-00449.roi,0.0
C2,00h,00075-00722.roi,0.0
C2,00h,00076-00444.roi,0.0
C2,00h,00077-00412.roi,0.0
C2,00h,00078-00422.roi,0.0
C2,00h,00079-00491.roi,0.0
C2,00h,00080-00443.roi,0.0
C2,00h,00081-00521.roi,0.0
C2,00h,00082-00404.roi,0.0
C2,00h,00083-00511.roi,0.0
C2,00h,00084-00673.roi,0.0
C2,00h,00085-00794.roi,0.0
C2,00h,00086-01185.roi,0.0
C2,00h,00087-00642.roi,0.0
C2,00h,00088-00540.roi,0.0
C2,00h,00089-00576.roi,0.0
C2,00h,00090-00564.roi,0.0
C2,00h,00091-00851.roi,0.0
C2,00h,00092-00544.roi,0.0
C2,00h,00093-00784.roi,0.0
C2,00h,00094-00698.roi,0.0
C2,00h,00095-00695.roi,0.0
C2,00h,00096-00616.roi,0.0
C2,00h,00097-00589.roi,0.0
C2,00h,00098-00830.roi,0.0
C2,00h,00099-00583.roi,0.0
C2,00h,00100-00853.roi,0.0
C2,00h,00101-00619.roi,0.0
C2,00h,00102-00700.roi,0.0
C2,00h,00103-00681.roi,0.0
C2,00h,00104-00809.roi,0.0
C2,00h,00105-01060.roi,0.0
C2,00h,00106-00797.roi,0.0
C2,00h,00107-00717.roi,0.0
C2,00h,00108-00773.roi,0.0
C2,00h,00109-00727.roi,0.0
C2,00h,00110-00713.roi,0.0
C2,00h,00111-01090.roi,0.0
C2,00h,00112-01026.roi,0.0
C2,00h,00113-00982.roi,0.0
C2,00h,00114-00819.roi,0.0
C2,00h,00115-00801.roi,0.0
C2,00h,00116-00905.roi,0.0
C2,00h,00117-00874.roi,0.0
C2,00h,00118-00959.roi,0.0
C2,00h,00119-00911.roi,0.0
C2,00h,00120-00840.roi,0.0
C2,00h,00121-00825.roi,0.0
C2,00h,00122-00888.roi,0.0
C2,00h,00123-00959.roi,0.0
C2,00h,00124-01122.roi,0.0
C2,00h,00125-00906.roi,0.0
C2,00h,00126-00857.roi,0.0
C2,00h,00127-00888.roi,0.0
C2,00h,00128-00894.roi,0.0
C2,00h,00129-00898.roi,0.0
C2,00h,00130-01008.roi,0.0
C2,00h,00131-00991.roi,0.0
C2,00h,00132-01277.roi,0.0
C2,00h,00133-00996.roi,0.0
C2,00h,00134-01005.roi,0.0
C2,00h,00135-00935.roi,0.0
C2,00h,00136-01005.roi,0.0
C2,00h,00137-00942.roi,0.0
C2,00h,00138-01119.roi,0.0
C2,00h,00139-00987.roi,0.0
C2,00h,00140-00941.roi,0.0
C2,00h,00141-01189.roi,0.0
C2,00h,00142-01009.roi,0.0
C2,00h,00143-01075.roi,0.0
C2,00h,00144-01009.roi,0.0
C2,00h,00145-01419.roi,0.0
C2,00h,00146-00972.roi,0.0
C2,00h,00147-01062.roi,0.0
C2,00h,00148-01100.roi,0.0
C2,00h,00149-00993.roi,0.0
C2,00h,00150-01318.roi,0.0
C2,00h,00151-01045.roi,0.0
C2,00h,00152-01488.roi,0.0
C2,00h,00153-01066.roi,0.0
C2,00h,00154-01100.roi,0.0
C2,00h,00155-01439.roi,0.0
C2,00h,00156-01325.roi,0.0
C2,00h,00157-01298.roi,0.0
C2,00h,00158-01132.roi,0.0
C2,00h,00159-01111.roi,0.0
C2,00h,00160-01348.roi,0.0
C2,00h,00161-01135.roi,0.0
C2,00h,00162-01311.roi,0.0
C2,00h,00163-01431.roi,0.0
C2,00h,00164-01185.roi,0.0
C2,00h,00165-01176.roi,0.0
C2,00h,00166-01184.roi,0.0
C2,00h,00167-01142.roi,0.0
C2,00h,00168-01244.roi,0.0
C2,00h,00169-01332.roi,0.0
C2,00h,00170-01176.roi,0.0
C2,00h,00171-01234.roi,0.0
C2,00h,00172-01156.roi,0.0
C2,00h,00173-01261.roi,0.0
C2,00h,00174-01522.roi,0.0
C2,00h,00175-01381.roi,0.0
C2,00h,00176-01233.roi,0.0
C2,00h,00177-01534.roi,0.0
C2,00h,00178-01326.roi,0.0
C2,00h,00179-01347.roi,0.0
C2,00h,00180-01303.roi,0.0
C2,00h,00181-01251.roi,0.0
C2,00h,00182-01268.roi,0.0
C2,00h,00183-01294.roi,0.0
C2,00h,00184-01303.roi,0.0
C2,00h,00185-01389.roi,0.0
C2,00h,00186-01323.roi,0.0
C2,00h,00187-01351.roi,0.0
C2,00h,00188-01543.roi,0.0
C2,00h,00189-01362.roi,0.0
C2,00h,00190-01437.roi,0.0
C2,00h,00191-01516.roi,0.0
C2,00h,00192-01453.roi,0.0
C2,00h,00193-01382.roi,0.0
C2,00h,00194-01531.roi,0.0
C2,00h,00195-01404.roi,0.0
C2,00h,00196-01457.roi,0.0
C2,00h,00197-01406.roi,0.0
C2,00h,00198-01506.roi,0.0
C2,00h,00199-01523.roi,0.0
C2,00h,00200-01515.roi,0.0
C2,00h,00201-01476.roi,0.0
C2,00h,00202-01991.roi,0.0
C2,00h,00203-01548.roi,0.0
C2,00h,00204-01576.roi,0.0
C2,00h,00205-01571.roi,0.0
C2,00h,00206-01571.roi,0.0
C2,00h,00207-01958.roi,0.0
C2,00h,00208-01523.roi,0.0
C2,00h,00209-01679.roi,0.0
C2,00h,00210-01576.roi,0.0
C2,00h,00211-01596.roi,0.0
C2,00h,00212-01548.roi,0.0
C2,00h,00213-01637.roi,0.0
C2,00h,00214-01801.roi,0.0
C2,00h,00215-01640.roi,0.0
C2,00h,00216-01583.roi,0.0
C2,00h,00217-01626.roi,0.0
C2,00h,00218-02131.roi,0.0
C2,00h,00219-01812.roi,0.0
C2,00h,00220-02030.roi,0.0
C2,00h,00221-02125.roi,0.0
C2,00h,00222-01583.roi,0.0
C2,00h,00223-01809.roi,0.0
C2,00h,00224-01680.roi,0.0
C2,00h,00225-01643.roi,0.0
C2,00h,00226-01630.roi,0.0
C2,00h,00227-01704.roi,0.0
C2,00h,00228-01701.roi,0.0
C2,00h,00229-01909.roi,0.0
C2,00h,00230-01724.roi,0.0
C2,00h,00231-01970.roi,0.0
C2,00h,00232-01899.roi,0.0
C2,00h,00233-01652.roi,0.0
C2,00h,00234-01737.roi,0.0
C2,00h,00235-01700.roi,0.0
C2,00h,00236-01771.roi,0.0
C2,00h,00237-01743.roi,0.0
C2,00h,00238-01730.roi,0.0
C2,00h,00239-01710.roi,0.0
C2,00h,00240-01754.roi,0.0
C2,00h,00241-01803.roi,0.0
C2,00h,00242-02006.roi,0.0
C2,00h,00243-02308.roi,0.0
C2,00h,00244-01943.roi,0.0
C2,00h,00245-01797.roi,0.0
C2,00h,00246-01784.roi,0.0
C2,00h,00247-01804.roi,0.0
C2,00h,00248-02109.roi,0.0
C2,00h,00249-01822.roi,0.0
C2,00h,00250-01892.roi,0.0
C2,00h,00251-01802.roi,0.0
C2,00h,00252-01873.roi,0.0
C2,00h,00253-01815.roi,0.0
C2,00h,00254-01911.roi,0.0
C2,00h,00255-02376.roi,0.0
C2,00h,00256-01860.roi,0.0
C2,00h,00257-01838.roi,0.0
C2,00h,00258-02299.roi,0.0
C2,00h,00259-01881.roi,0.0
C2,00h,00260-01871.roi,0.0
C2,00h,00261-01912.roi,0.0
C2,00h,00262-01953.roi,0.0
C2,00h,00263-01944.roi,0.0
C2,00h,00264-01960.roi,0.0
C2,00h,00265-01892.roi,0.0
C2,00h,00266-02057.roi,0.0
C2,00h,00267-02040.roi,0.0
C2,00h,00268-01911.roi,0.0
C2,00h,00269-01932.roi,0.0
C2,00h,00270-01984.roi,0.0
C2,00h,00271-01956.roi,0.0
C2,00h,00272-01998.roi,0.0
C2,00h,00273-01980.roi,0.0
C2,00h,00274-02009.roi,0.0
C2,00h,00275-02105.roi,0.0
C2,00h,00276-02071.roi,0.0
C2,00h,00277-02191.roi,0.0
C2,00h,00278-02191.roi,0.0
C2,00h,00279-02011.roi,0.0
C2,00h,00280-02100.roi,0.0
C2,00h,00281-02145.roi,0.0
C2,00h,00282-02362.roi,0.0
C2,00h,00283-02100.roi,0.0
C2,00h,00284-02347.roi,0.0
C2,00h,00285-02084.roi,0.0
