,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
00001-00047.roi,0.9288591483945388,0.0,0.0,0.0,0.0,0.0,0.8734836925117299,9.136250971769721,2.196091477901016,0.0006094680317709629,4.803486051464178,0.8482214383224874,0.0,0.32903541099182815,14.825097374238105,0.0,0.0,0.47682944042988423,0.0,0.1887133472199968,0.20802546283932816,0.0,0.014603245958130317,0.0,0.027917312040449355
00002-00006.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00003-00492.roi,27.244743241748395,8.930475186892863,9.108598477050636,5.293015772324714,4.417474357436634,29.46279262035707,171.59881570235927,380.9705873506683,580.7122493665289,418.26940000856575,1153.439353622561,1153.4899905896461,514.2018314170498,1166.159603623596,1343.453851929037,447.48812951929705,467.04409868000823,1011.4236008113194,630.8045537221902,825.0894020894677,837.4652298452387,367.19224106357746,523.8382499184836,435.32400660294235,491.89840185931087
00004-00090.roi,55.09087696144651,0.0,0.0,0.0,0.0,0.0,0.0,0.06016898234467542,0.0,0.0,695.9611395739107,702.6818756738832,210.4347888465342,765.8039864728872,772.2650264235319,215.05850699352015,423.5799677103956,1283.4209163322032,708.2616999098711,1193.843674475448,1305.0693934023154,466.5646918742469,942.8218285378787,730.187224123815,997.764169692041
00005-00191.roi,50.998095205468545,18.43694162884469,16.27610065057181,5.853668955313862,3.938925849203401,37.2017147191577,205.31215614723894,312.95625155073014,527.1723778707362,546.2581794146612,1067.4697933835382,1121.0820075542479,473.6009455143132,1146.9858800053714,751.3919256441623,417.3234496615808,468.1239967230344,1040.302387554097,673.7164127958914,1033.0848810866562,1083.7297065064172,436.9076990497814,785.6651777004597,640.20975018243,792.3744159461019
00006-00401.roi,65.85104511871057,50.22367266430325,64.01487456615831,47.386146181829574,43.204750286806224,219.10106869555386,431.6537384816098,384.71279736020585,680.1167894122133,1030.9055554087818,1177.0651628389426,1480.4951103456594,930.0052918980332,1484.5881376336529,1356.366975590519,814.5750929948599,925.1933090034813,1403.659065127118,1133.1353043436504,1091.4891242706524,1301.7781568659418,733.5606513134293,1001.6477414080732,890.8999583650037,969.6260438000655
00007-00610.roi,52.406242915736264,90.4476508408969,141.66017550182525,129.97648260469285,106.23172179562816,356.65008254694516,414.796169333703,536.4857676898762,958.6413902201219,1371.0301148884896,1616.79816914074,1541.3760563683625,1711.8046972436723,1566.4994189958068,1579.166594393085,1691.2971269055204,1674.0693763250028,1385.2104510922302,1619.4710558308132,1599.9938068921244,1387.4995453453744,1469.5294826124568,1386.8306987617245,1477.0582066364493,1321.9584567964926
00008-00033.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00009-00003.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00010-00157.roi,46.91284872380312,46.838880666356246,112.22945358564213,172.9023854743815,174.67555649849032,331.5376594340155,450.6110573286121,449.96015901465614,860.5196983523159,1188.0723058732156,1760.5226744263489,2018.400261594454,1498.679253034769,1275.5580770252534,1395.583881926105,1756.5370733947357,1357.6931530733877,1088.2710915965688,1313.2446623865294,1552.0774155175682,1492.620892884077,1665.7803120633837,1653.5337840663822,1382.5338855471875,1077.2858388126324
00011-00139.roi,29.925511291173446,42.43167703418649,70.58588786909621,127.90697546654047,180.09773111401563,229.50171650843012,374.0526424046417,335.87848461871823,369.9153134658937,618.1642377924722,777.7747246126108,1164.490412522394,1372.911904369247,1409.3674347224983,1516.9714590960423,1375.8847225727654,1579.6464587251953,1423.6439032064802,1558.2069344589956,1065.5207837358143,1491.7243924654097,905.2276981433479,824.7878686442398,669.1147011813001,795.8309284456042
00012-00292.roi,85.75495505788483,107.95149852064641,135.9453922592129,185.6273971436994,299.38447276223656,354.47487898950413,585.6575412167722,748.1414441237774,1075.4432992656455,1209.057951728277,1407.9903209583445,1786.4995944909308,2059.9242622382067,2189.122083943857,2256.4276956041354,2170.783951161036,2172.6609973185446,2198.1141522422377,2129.9267255380405,2018.607541489466,2061.8638716399805,2037.3581388450796,1633.3395449690481,1722.2939617682782,1777.905237140516
00013-00035.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00014-00492.roi,87.75293957413423,133.56204583287393,199.37140654317596,306.24900290843226,482.61263548884614,645.0247890040914,863.1093476763696,1233.035356365984,1677.2028884905517,2000.6357784488996,2116.5508485111727,2669.5551946534415,2630.876252931196,2610.1604091495,2447.695881473808,2541.8304090581946,2492.9344139444684,2474.8346961615653,2461.36919668643,2455.343560105258,2304.6797745163753,2269.233210747006,2084.1439782022435,2209.223984034844,1950.8704398218515
00015-00022.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
