,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
00001-00063.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00002-00016.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00003-00277.roi,0.0033893207089638784,0.0020412947065436646,0.041367008252948985,0.004705078166444635,0.001701337112583095,0.003738507377750733,0.0016080098687794573,0.05025993686428085,0.0008219544379711431,1.3331773489539528e-05,9.280965465626924e-05,6.153125028628659e-05,1.3331773489539508e-05,0.0,0.0,0.0,1.0767971481918723e-05,0.0,0.0,0.0,1.3331773489539506e-05,1.3331773489539527e-05,1.333177348953951e-05,0.0,0.0
00004-00138.roi,0.02452566995897278,0.0036902309097886997,0.5718003244301774,0.0011317743689232373,0.0022555825096473286,0.10304138916238292,0.1196241898097029,1.915877534876192,0.007592807889872767,0.013246117190127856,0.00012486776255224446,0.00034537838756787837,0.0024867103866515155,0.0023060407279044933,9.564332831684504e-05,0.004816610018091698,0.0012247670546035026,0.0012911860051520346,6.90757904477467e-05,0.0,0.0,6.907579044774671e-05,0.008113566692520493,0.0,0.0012247670546035026
00005-00046.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00006-00314.roi,0.24843794994965313,0.024266461801715322,4.24999709395493,0.10095926406265045,0.24593595868064858,2.6718147120360545,2.9092439872816493,23.850065769516583,4.464181618408078,8.99277890219866,7.7896158765401005,19.4582613908065,31.23636940845091,41.015238371467596,32.78897402929563,52.480491248109765,27.827946316084756,39.18931381883388,36.40450903733068,24.627965609345942,36.42255512817049,27.118001396276902,68.24681854427625,27.198319233196234,28.63505558108253
00007-00106.roi,0.046731562294142354,0.0,2.003698468864655,0.007108111135580809,0.27188212183147975,5.844706235773889,7.788737195928763,23.917362601588543,1.521538964113399,3.8094417246992833,2.325293838974472,3.4213665402065594,6.143643865090821,9.694837867272875,7.0048351448779105,13.78981210893531,4.735497440895681,7.559838799927009,6.571684448646431,3.0263042562437965,6.024291441638753,3.4180946246712502,17.513635979270585,3.5443390354661064,4.181083385204322
00008-00402.roi,11.005988361080751,3.0981765413902926,130.85927468363474,23.98800678749496,47.45039213375612,213.95334310579548,266.52312989559687,569.8948529050041,266.9967174597955,449.16493189250195,355.5636969436226,724.8328884814186,1122.163588617438,1534.5189994543537,993.0982993287001,1593.3174291525804,682.727677225533,874.947022724617,764.5940800448967,508.3403006777657,686.6671633292634,521.9030207153037,1828.9537693863103,498.82482301164515,504.569404724469
00009-00027.roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00010-00219.roi,29.597085280227414,41.02292374916777,52.44663960308138,158.8169215427032,225.56788362606218,178.9618222327949,321.46432801438004,671.792317831831,339.49755909119096,503.6451320645936,1511.2220516379766,735.0380301687115,705.5078205978988,767.1777694833515,886.3214232046129,979.1793753465813,1676.3463751960467,734.6269635042057,1388.342080489516,1524.9367885079123,1514.2003565364043,1605.6996922424187,1152.5624381395432,1426.797557300624,1351.2126799178507
