Chip,Hour,Droplet,Bacteria Count
C8,00h,00001-00078.roi,77.0
C8,00h,00002-00195.roi,411.0
C8,00h,00003-00235.roi,783.0
C8,00h,00004-00686.roi,4366.0
C8,00h,00005-00193.roi,576.0
C8,00h,00006-00037.roi,0.0
C8,00h,00007-00013.roi,0.0
C8,00h,00008-00383.roi,2370.0
C8,00h,00009-00023.roi,0.0
C8,00h,00010-00066.roi,0.0
C8,00h,00011-00023.roi,0.0
C8,00h,00012-00041.roi,0.0
C8,00h,00013-00768.roi,8626.0
C8,00h,00014-00025.roi,0.0
C8,00h,00015-00215.roi,482.0
C8,00h,00016-00018.roi,0.0
C8,00h,00017-00018.roi,0.0
C8,00h,00018-00137.roi,56.0
C8,00h,00019-00061.roi,36.0
C8,00h,00020-00078.roi,38.0
C8,00h,00021-00031.roi,0.0
C8,00h,00022-00012.roi,0.0
C8,00h,00023-00042.roi,55.0
C8,00h,00024-00057.roi,0.0
C8,00h,00025-00124.roi,48.0
C8,00h,00026-00012.roi,0.0
C8,00h,00027-00012.roi,0.0
C8,00h,00028-00218.roi,196.0
C8,00h,00029-00032.roi,0.0
C8,00h,00030-00306.roi,494.0
C8,00h,00031-00093.roi,0.0
C8,00h,00032-00090.roi,0.0
C8,00h,00033-00470.roi,1573.0
C8,00h,00034-00130.roi,52.0
C8,00h,00035-00235.roi,67.0
C8,00h,00036-00662.roi,3430.0
C8,00h,00037-00121.roi,0.0
C8,00h,00038-00140.roi,0.0
C8,00h,00039-00333.roi,759.0
C8,00h,00040-00230.roi,0.0
C8,00h,00041-00547.roi,1490.0
C8,00h,00042-00169.roi,0.0
C8,00h,00043-00211.roi,0.0
C8,00h,00044-00340.roi,164.0
C8,00h,00045-00230.roi,0.0
C8,00h,00046-00301.roi,61.0
C8,00h,00047-00238.roi,0.0
C8,00h,00048-00335.roi,0.0
C8,00h,00049-00482.roi,199.0
C8,00h,00050-00246.roi,0.0
C8,00h,00051-00247.roi,0.0
C8,00h,00052-00300.roi,0.0
C8,00h,00053-00701.roi,871.0
C8,00h,00054-00288.roi,0.0
C8,00h,00055-00296.roi,0.0
C8,00h,00056-00287.roi,0.0
C8,00h,00057-00420.roi,0.0
C8,00h,00058-00334.roi,0.0
C8,00h,00059-00335.roi,0.0
C8,00h,00060-00307.roi,0.0
C8,00h,00061-00316.roi,0.0
C8,00h,00062-00387.roi,0.0
C8,00h,00063-00372.roi,0.0
C8,00h,00064-00363.roi,0.0
C8,00h,00065-00409.roi,0.0
C8,00h,00066-00365.roi,0.0
C8,00h,00067-00470.roi,0.0
C8,00h,00068-00393.roi,0.0
C8,00h,00069-00420.roi,0.0
C8,00h,00070-00453.roi,0.0
C8,00h,00071-00397.roi,0.0
C8,00h,00072-00813.roi,1779.0
C8,00h,00073-00406.roi,0.0
C8,00h,00074-00439.roi,0.0
C8,00h,00075-00553.roi,180.0
C8,00h,00076-00753.roi,373.0
C8,00h,00077-00394.roi,0.0
C8,00h,00078-00418.roi,0.0
C8,00h,00079-00516.roi,62.0
C8,00h,00080-00766.roi,648.0
C8,00h,00081-00500.roi,42.0
C8,00h,00082-00595.roi,69.0
C8,00h,00083-00496.roi,0.0
C8,00h,00084-00629.roi,129.0
C8,00h,00085-00476.roi,0.0
C8,00h,00086-00608.roi,0.0
C8,00h,00087-00594.roi,0.0
C8,00h,00088-00593.roi,0.0
C8,00h,00089-00628.roi,0.0
C8,00h,00090-00619.roi,0.0
C8,00h,00091-01018.roi,2474.0
C8,00h,00092-00623.roi,0.0
C8,00h,00093-00635.roi,40.0
C8,00h,00094-00657.roi,0.0
C8,00h,00095-00708.roi,0.0
C8,00h,00096-01081.roi,856.0
C8,00h,00097-00670.roi,0.0
C8,00h,00098-00600.roi,0.0
C8,00h,00099-00701.roi,65.0
C8,00h,00100-00613.roi,0.0
C8,00h,00101-00833.roi,526.0
C8,00h,00102-00713.roi,0.0
C8,00h,00103-00697.roi,0.0
C8,00h,00104-00680.roi,0.0
C8,00h,00105-00767.roi,71.0
C8,00h,00106-00734.roi,102.0
C8,00h,00107-00711.roi,0.0
C8,00h,00108-00787.roi,0.0
C8,00h,00109-00711.roi,0.0
C8,00h,00110-00723.roi,0.0
C8,00h,00111-01330.roi,5594.0
C8,00h,00112-00747.roi,52.0
C8,00h,00113-01176.roi,1375.0
C8,00h,00114-00823.roi,0.0
C8,00h,00115-00781.roi,0.0
C8,00h,00116-00769.roi,0.0
C8,00h,00117-00803.roi,0.0
C8,00h,00118-00832.roi,0.0
C8,00h,00119-00976.roi,140.0
C8,00h,00120-00821.roi,0.0
C8,00h,00121-00824.roi,0.0
C8,00h,00122-00804.roi,0.0
C8,00h,00123-00836.roi,0.0
C8,00h,00124-00810.roi,0.0
C8,00h,00125-01262.roi,1809.0
C8,00h,00126-00867.roi,0.0
C8,00h,00127-00932.roi,0.0
C8,00h,00128-00982.roi,0.0
C8,00h,00129-00947.roi,0.0
C8,00h,00130-00974.roi,62.0
C8,00h,00131-00967.roi,0.0
C8,00h,00132-00940.roi,0.0
C8,00h,00133-00957.roi,0.0
C8,00h,00134-00990.roi,0.0
C8,00h,00135-00963.roi,0.0
C8,00h,00136-00987.roi,0.0
C8,00h,00137-00973.roi,0.0
C8,00h,00138-00986.roi,0.0
C8,00h,00139-01320.roi,956.0
C8,00h,00140-01059.roi,73.0
C8,00h,00141-01026.roi,0.0
C8,00h,00142-01426.roi,2181.0
C8,00h,00143-01570.roi,3545.0
C8,00h,00144-01193.roi,157.0
C8,00h,00145-01077.roi,0.0
C8,00h,00146-01341.roi,311.0
C8,00h,00147-01079.roi,0.0
C8,00h,00148-01098.roi,63.0
C8,00h,00149-01173.roi,0.0
C8,00h,00150-01116.roi,0.0
C8,00h,00151-01103.roi,0.0
C8,00h,00152-01151.roi,0.0
C8,00h,00153-01469.roi,220.0
C8,00h,00154-01120.roi,0.0
C8,00h,00155-01154.roi,0.0
C8,00h,00156-01233.roi,0.0
C8,00h,00157-01146.roi,0.0
C8,00h,00158-01177.roi,0.0
C8,00h,00159-01501.roi,1003.0
C8,00h,00160-01244.roi,107.0
C8,00h,00161-01203.roi,0.0
C8,00h,00162-01223.roi,0.0
C8,00h,00163-01176.roi,0.0
C8,00h,00164-01252.roi,0.0
C8,00h,00165-01249.roi,0.0
C8,00h,00166-01688.roi,3838.0
C8,00h,00167-01293.roi,0.0
C8,00h,00168-01312.roi,0.0
C8,00h,00169-01369.roi,0.0
C8,00h,00170-01302.roi,0.0
C8,00h,00171-01284.roi,0.0
C8,00h,00172-01351.roi,0.0
C8,00h,00173-01374.roi,59.0
C8,00h,00174-01283.roi,0.0
C8,00h,00175-01276.roi,0.0
C8,00h,00176-01438.roi,111.0
C8,00h,00177-01350.roi,0.0
