Chip,Hour,Droplet,Bacteria Count
C6,00h,00001-00047.roi,0.0
C6,00h,00002-00006.roi,0.0
C6,00h,00003-00492.roi,1501.0
C6,00h,00004-00090.roi,31.0
C6,00h,00005-00191.roi,192.0
C6,00h,00006-00401.roi,837.0
C6,00h,00007-00610.roi,824.0
C6,00h,00008-00033.roi,0.0
C6,00h,00009-00003.roi,0.0
C6,00h,00010-00157.roi,356.0
C6,00h,00011-00139.roi,100.0
C6,00h,00012-00292.roi,583.0
C6,00h,00013-00035.roi,0.0
C6,00h,00014-00492.roi,1896.0
C6,00h,00015-00022.roi,0.0
C6,00h,00016-00095.roi,0.0
C6,00h,00017-00330.roi,202.0
C6,00h,00018-00397.roi,2330.0
C6,00h,00019-00068.roi,66.0
C6,00h,00020-00016.roi,22.0
C6,00h,00021-00022.roi,0.0
C6,00h,00022-00007.roi,0.0
C6,00h,00023-00584.roi,3606.0
C6,00h,00024-00103.roi,152.0
C6,00h,00025-00186.roi,303.0
C6,00h,00026-00493.roi,2179.0
C6,00h,00027-00015.roi,0.0
C6,00h,00028-00032.roi,0.0
C6,00h,00029-00125.roi,84.0
C6,00h,00030-00258.roi,379.0
C6,00h,00031-00035.roi,0.0
C6,00h,00032-00066.roi,70.0
C6,00h,00033-00548.roi,1226.0
C6,00h,00034-00072.roi,0.0
C6,00h,00035-00168.roi,0.0
C6,00h,00036-00063.roi,0.0
C6,00h,00037-00072.roi,0.0
C6,00h,00038-00130.roi,0.0
C6,00h,00039-00074.roi,0.0
C6,00h,00040-00160.roi,0.0
C6,00h,00041-00109.roi,0.0
C6,00h,00042-00323.roi,0.0
C6,00h,00043-00247.roi,25.0
C6,00h,00044-00139.roi,0.0
C6,00h,00045-00164.roi,0.0
C6,00h,00046-00335.roi,68.0
C6,00h,00047-00380.roi,213.0
C6,00h,00048-00173.roi,0.0
C6,00h,00049-00168.roi,0.0
C6,00h,00050-00225.roi,0.0
C6,00h,00051-00328.roi,51.0
C6,00h,00052-00237.roi,0.0
C6,00h,00053-00198.roi,0.0
C6,00h,00054-00219.roi,0.0
C6,00h,00055-00641.roi,896.0
C6,00h,00056-00260.roi,18.0
C6,00h,00057-00325.roi,13.0
C6,00h,00058-00283.roi,0.0
C6,00h,00059-00480.roi,503.0
C6,00h,00060-00245.roi,0.0
C6,00h,00061-00245.roi,0.0
C6,00h,00062-00252.roi,0.0
C6,00h,00063-00325.roi,98.0
C6,00h,00064-00290.roi,0.0
C6,00h,00065-00312.roi,0.0
C6,00h,00066-00362.roi,19.0
C6,00h,00067-00303.roi,0.0
C6,00h,00068-00337.roi,0.0
C6,00h,00069-00756.roi,1547.0
C6,00h,00070-00811.roi,1580.0
C6,00h,00071-00383.roi,0.0
C6,00h,00072-00326.roi,0.0
C6,00h,00073-00605.roi,807.0
C6,00h,00074-00434.roi,65.0
C6,00h,00075-00396.roi,0.0
C6,00h,00076-00468.roi,0.0
C6,00h,00077-00387.roi,0.0
C6,00h,00078-00393.roi,0.0
C6,00h,00079-00480.roi,63.0
C6,00h,00080-00465.roi,50.0
C6,00h,00081-00381.roi,0.0
C6,00h,00082-00410.roi,0.0
C6,00h,00083-00572.roi,456.0
C6,00h,00084-00650.roi,403.0
C6,00h,00085-00455.roi,0.0
C6,00h,00086-00582.roi,0.0
C6,00h,00087-00575.roi,41.0
C6,00h,00088-00425.roi,0.0
C6,00h,00089-00434.roi,0.0
C6,00h,00090-00440.roi,0.0
C6,00h,00091-00450.roi,0.0
C6,00h,00092-00536.roi,0.0
C6,00h,00093-00460.roi,0.0
C6,00h,00094-00574.roi,42.0
C6,00h,00095-00517.roi,0.0
C6,00h,00096-00611.roi,0.0
C6,00h,00097-00553.roi,0.0
C6,00h,00098-00629.roi,48.0
C6,00h,00099-00536.roi,0.0
C6,00h,00100-00740.roi,79.0
C6,00h,00101-00780.roi,38.0
C6,00h,00102-00547.roi,0.0
C6,00h,00103-00575.roi,0.0
C6,00h,00104-00611.roi,0.0
C6,00h,00105-00581.roi,0.0
C6,00h,00106-00599.roi,0.0
C6,00h,00107-00584.roi,0.0
C6,00h,00108-00575.roi,0.0
C6,00h,00109-00620.roi,0.0
C6,00h,00110-00681.roi,0.0
C6,00h,00111-00908.roi,159.0
C6,00h,00112-00662.roi,0.0
C6,00h,00113-01050.roi,1354.0
C6,00h,00114-00990.roi,737.0
C6,00h,00115-00733.roi,0.0
C6,00h,00116-00960.roi,391.0
C6,00h,00117-00710.roi,0.0
C6,00h,00118-00789.roi,0.0
C6,00h,00119-00777.roi,0.0
C6,00h,00120-00785.roi,41.0
C6,00h,00121-00821.roi,0.0
C6,00h,00122-01106.roi,1226.0
C6,00h,00123-00766.roi,0.0
C6,00h,00124-00867.roi,0.0
C6,00h,00125-00835.roi,55.0
C6,00h,00126-00787.roi,0.0
C6,00h,00127-00820.roi,0.0
C6,00h,00128-01187.roi,709.0
C6,00h,00129-00823.roi,0.0
C6,00h,00130-00823.roi,0.0
C6,00h,00131-00837.roi,0.0
C6,00h,00132-00840.roi,0.0
C6,00h,00133-00854.roi,0.0
C6,00h,00134-00879.roi,63.0
C6,00h,00135-00929.roi,0.0
C6,00h,00136-00855.roi,0.0
C6,00h,00137-00906.roi,0.0
C6,00h,00138-00883.roi,0.0
C6,00h,00139-00893.roi,0.0
C6,00h,00140-00930.roi,0.0
C6,00h,00141-00960.roi,0.0
C6,00h,00142-00980.roi,65.0
C6,00h,00143-00898.roi,0.0
C6,00h,00144-01031.roi,91.0
C6,00h,00145-00939.roi,0.0
C6,00h,00146-00930.roi,0.0
C6,00h,00147-01057.roi,84.0
C6,00h,00148-01044.roi,0.0
C6,00h,00149-00934.roi,0.0
C6,00h,00150-00940.roi,0.0
C6,00h,00151-00966.roi,0.0
C6,00h,00152-01046.roi,56.0
C6,00h,00153-01012.roi,0.0
C6,00h,00154-01050.roi,0.0
C6,00h,00155-01374.roi,1105.0
C6,00h,00156-00973.roi,0.0
C6,00h,00157-01034.roi,37.0
C6,00h,00158-01083.roi,0.0
C6,00h,00159-01187.roi,5.0
C6,00h,00160-01030.roi,0.0
C6,00h,00161-01079.roi,0.0
C6,00h,00162-01153.roi,58.0
C6,00h,00163-01019.roi,0.0
C6,00h,00164-01389.roi,514.0
C6,00h,00165-01540.roi,1587.0
C6,00h,00166-01179.roi,30.0
C6,00h,00167-01143.roi,0.0
C6,00h,00168-01114.roi,0.0
C6,00h,00169-01461.roi,596.0
C6,00h,00170-01113.roi,0.0
C6,00h,00171-01458.roi,958.0
C6,00h,00172-01106.roi,0.0
C6,00h,00173-01101.roi,0.0
C6,00h,00174-01177.roi,0.0
C6,00h,00175-01147.roi,0.0
C6,00h,00176-01173.roi,0.0
C6,00h,00177-01226.roi,0.0
C6,00h,00178-01153.roi,0.0
C6,00h,00179-01277.roi,81.0
C6,00h,00180-01545.roi,1077.0
C6,00h,00181-01189.roi,0.0
C6,00h,00182-01289.roi,0.0
C6,00h,00183-01731.roi,2009.0
C6,00h,00184-01236.roi,0.0
C6,00h,00185-01201.roi,0.0
C6,00h,00186-01224.roi,0.0
C6,00h,00187-01528.roi,658.0
C6,00h,00188-01230.roi,0.0
C6,00h,00189-01491.roi,288.0
C6,00h,00190-01395.roi,0.0
C6,00h,00191-01351.roi,0.0
C6,00h,00192-01638.roi,1005.0
C6,00h,00193-01253.roi,0.0
C6,00h,00194-01261.roi,0.0
C6,00h,00195-01277.roi,0.0
C6,00h,00196-01271.roi,0.0
C6,00h,00197-01554.roi,361.0
C6,00h,00198-01330.roi,29.0
C6,00h,00199-01365.roi,0.0
C6,00h,00200-01346.roi,0.0
C6,00h,00201-01294.roi,0.0
C6,00h,00202-01330.roi,0.0
C6,00h,00203-01310.roi,0.0
C6,00h,00204-01347.roi,0.0
C6,00h,00205-01808.roi,2278.0
C6,00h,00206-01340.roi,0.0
C6,00h,00207-01321.roi,0.0
C6,00h,00208-01348.roi,0.0
C6,00h,00209-01370.roi,0.0
C6,00h,00210-01417.roi,0.0
C6,00h,00211-01674.roi,407.0
C6,00h,00212-01389.roi,0.0
C6,00h,00213-01716.roi,1130.0
C6,00h,00214-01439.roi,0.0
C6,00h,00215-01389.roi,0.0
C6,00h,00216-01423.roi,0.0
C6,00h,00217-01408.roi,0.0
C6,00h,00218-01446.roi,0.0
C6,00h,00219-01490.roi,0.0
C6,00h,00220-01626.roi,165.0
C6,00h,00221-01469.roi,0.0
C6,00h,00222-01497.roi,0.0
C6,00h,00223-01448.roi,0.0
C6,00h,00224-01488.roi,15.0
C6,00h,00225-01553.roi,84.0
C6,00h,00226-01483.roi,0.0
C6,00h,00227-01603.roi,0.0
C6,00h,00228-01680.roi,118.0
C6,00h,00229-01786.roi,352.0
C6,00h,00230-01943.roi,750.0
C6,00h,00231-01523.roi,0.0
C6,00h,00232-01690.roi,130.0
C6,00h,00233-01628.roi,125.0
C6,00h,00234-01508.roi,0.0
C6,00h,00235-01787.roi,598.0
C6,00h,00236-01567.roi,0.0
C6,00h,00237-01543.roi,0.0
C6,00h,00238-01599.roi,0.0
C6,00h,00239-01556.roi,0.0
C6,00h,00240-01580.roi,0.0
C6,00h,00241-01707.roi,0.0
C6,00h,00242-01573.roi,0.0
C6,00h,00243-01611.roi,0.0
C6,00h,00244-01594.roi,0.0
C6,00h,00245-01608.roi,0.0
C6,00h,00246-01654.roi,0.0
C6,00h,00247-01635.roi,0.0
C6,00h,00248-01761.roi,0.0
C6,00h,00249-01723.roi,0.0
C6,00h,00250-01800.roi,116.0
C6,00h,00251-01689.roi,0.0
C6,00h,00252-01765.roi,0.0
C6,00h,00253-01731.roi,0.0
C6,00h,00254-01728.roi,0.0
C6,00h,00255-01739.roi,0.0
C6,00h,00256-01833.roi,0.0
C6,00h,00257-02222.roi,1142.0
C6,00h,00258-01750.roi,0.0
C6,00h,00259-01732.roi,0.0
C6,00h,00260-01852.roi,99.0
C6,00h,00261-01750.roi,0.0
C6,00h,00262-01870.roi,29.0
C6,00h,00263-01809.roi,25.0
C6,00h,00264-01798.roi,0.0
C6,00h,00265-02200.roi,1748.0
C6,00h,00266-01838.roi,0.0
C6,00h,00267-01804.roi,0.0
C6,00h,00268-02355.roi,2472.0
C6,00h,00269-01806.roi,28.0
C6,00h,00270-01826.roi,57.0
C6,00h,00271-01817.roi,0.0
C6,00h,00272-01883.roi,0.0
C6,00h,00273-01820.roi,0.0
C6,00h,00274-01941.roi,195.0
C6,00h,00275-01848.roi,0.0
C6,00h,00276-01818.roi,0.0
C6,00h,00277-02060.roi,428.0
C6,00h,00278-02007.roi,145.0
C6,00h,00279-01847.roi,0.0
C6,00h,00280-01914.roi,0.0
