Chip,Hour,Droplet,Bacteria Count
C3,00h,00001-00074.roi,0.0
C3,00h,00002-00075.roi,0.0
C3,00h,00003-00066.roi,0.0
C3,00h,00004-00187.roi,0.0
C3,00h,00005-00029.roi,0.0
C3,00h,00006-00108.roi,0.0
C3,00h,00007-00173.roi,0.0
C3,00h,00008-00324.roi,0.0
C3,00h,00009-00048.roi,0.0
C3,00h,00010-00064.roi,0.0
C3,00h,00011-00303.roi,6.0
C3,00h,00012-00296.roi,0.0
C3,00h,00013-00352.roi,90.0
C3,00h,00014-00024.roi,0.0
C3,00h,00015-00060.roi,0.0
C3,00h,00016-00008.roi,0.0
C3,00h,00017-00004.roi,0.0
C3,00h,00018-00105.roi,0.0
C3,00h,00019-00067.roi,0.0
C3,00h,00020-00018.roi,0.0
C3,00h,00021-00011.roi,0.0
C3,00h,00022-00079.roi,0.0
C3,00h,00023-00304.roi,501.0
C3,00h,00024-00194.roi,528.0
C3,00h,00025-00023.roi,0.0
C3,00h,00026-00032.roi,31.0
C3,00h,00027-00025.roi,0.0
C3,00h,00028-00272.roi,824.0
C3,00h,00029-00130.roi,126.0
C3,00h,00030-00022.roi,0.0
C3,00h,00031-00221.roi,340.0
C3,00h,00032-00022.roi,0.0
C3,00h,00033-00102.roi,0.0
C3,00h,00034-00057.roi,0.0
C3,00h,00035-00213.roi,351.0
C3,00h,00036-00262.roi,207.0
C3,00h,00037-00126.roi,0.0
C3,00h,00038-00264.roi,421.0
C3,00h,00039-00080.roi,0.0
C3,00h,00040-00150.roi,68.0
C3,00h,00041-00140.roi,0.0
C3,00h,00042-00274.roi,0.0
C3,00h,00043-00240.roi,0.0
C3,00h,00044-00115.roi,0.0
C3,00h,00045-00356.roi,102.0
C3,00h,00046-00223.roi,28.0
C3,00h,00047-00269.roi,99.0
C3,00h,00048-00273.roi,268.0
C3,00h,00049-00105.roi,0.0
C3,00h,00050-00433.roi,451.0
C3,00h,00051-00231.roi,40.0
C3,00h,00052-00125.roi,0.0
C3,00h,00053-00128.roi,0.0
C3,00h,00054-00150.roi,0.0
C3,00h,00055-00166.roi,0.0
C3,00h,00056-00232.roi,0.0
C3,00h,00057-00187.roi,0.0
C3,00h,00058-00201.roi,0.0
C3,00h,00059-00615.roi,911.0
C3,00h,00060-00302.roi,0.0
C3,00h,00061-00286.roi,0.0
C3,00h,00062-00426.roi,18.0
C3,00h,00063-00254.roi,0.0
C3,00h,00064-00481.roi,0.0
C3,00h,00065-00249.roi,0.0
C3,00h,00066-00378.roi,0.0
C3,00h,00067-00565.roi,535.0
C3,00h,00068-00370.roi,0.0
C3,00h,00069-00449.roi,157.0
C3,00h,00070-00302.roi,0.0
C3,00h,00071-00273.roi,0.0
C3,00h,00072-00417.roi,0.0
C3,00h,00073-00290.roi,0.0
C3,00h,00074-00523.roi,0.0
C3,00h,00075-00417.roi,0.0
C3,00h,00076-00332.roi,0.0
C3,00h,00077-00764.roi,0.0
C3,00h,00078-00357.roi,0.0
C3,00h,00079-00412.roi,0.0
C3,00h,00080-00371.roi,0.0
C3,00h,00081-00512.roi,39.0
C3,00h,00082-00665.roi,0.0
