Chip,Hour,Droplet,Bacteria Count
C5,00h,00167-01163.roi,0.0
C5,00h,00168-01193.roi,0.0
C5,00h,00169-01354.roi,76.0
C5,00h,00170-01635.roi,1642.0
C5,00h,00171-01376.roi,0.0
C5,00h,00172-01289.roi,0.0
C5,00h,00173-01254.roi,0.0
C5,00h,00174-01554.roi,0.0
C5,00h,00175-01456.roi,0.0
C5,00h,00176-01836.roi,0.0
C5,00h,00177-01446.roi,34.0
C5,00h,00178-01571.roi,209.0
C5,00h,00179-01447.roi,33.0
C5,00h,00180-01412.roi,35.0
C5,00h,00181-01381.roi,0.0
C5,00h,00182-01407.roi,0.0
C5,00h,00183-01394.roi,0.0
C5,00h,00184-01379.roi,0.0
C5,00h,00185-01367.roi,0.0
C5,00h,00186-01429.roi,0.0
C5,00h,00187-01384.roi,0.0
C5,00h,00188-01440.roi,0.0
C5,00h,00189-01448.roi,37.0
C5,00h,00190-01481.roi,0.0
C5,00h,00191-01474.roi,0.0
C5,00h,00192-01514.roi,43.0
C5,00h,00193-01460.roi,0.0
C5,00h,00194-01487.roi,0.0
C5,00h,00195-01457.roi,0.0
C5,00h,00196-01750.roi,283.0
C5,00h,00197-01597.roi,45.0
C5,00h,00198-01507.roi,0.0
C5,00h,00199-01569.roi,0.0
C5,00h,00200-01517.roi,0.0
C5,00h,00201-01513.roi,0.0
C5,00h,00202-01550.roi,0.0
C5,00h,00203-02138.roi,2699.0
C5,00h,00204-02136.roi,2586.0
C5,00h,00205-01626.roi,0.0
C5,00h,00206-01607.roi,0.0
C5,00h,00207-01639.roi,0.0
C5,00h,00208-01669.roi,0.0
C5,00h,00209-01679.roi,0.0
C5,00h,00210-01686.roi,0.0
C5,00h,00211-01665.roi,0.0
C5,00h,00212-01618.roi,0.0
C5,00h,00213-01642.roi,0.0
C5,00h,00214-01657.roi,0.0
C5,00h,00215-02170.roi,2464.0
C5,00h,00216-01725.roi,0.0
C5,00h,00217-01690.roi,53.0
C5,00h,00218-01694.roi,0.0
C5,00h,00219-01713.roi,0.0
C5,00h,00220-01715.roi,0.0
C5,00h,00221-01787.roi,0.0
C5,00h,00222-01907.roi,40.0
C5,00h,00223-01763.roi,38.0
C5,00h,00224-01789.roi,0.0
C5,00h,00225-01733.roi,0.0
C5,00h,00226-01744.roi,0.0
C5,00h,00227-02040.roi,651.0
C5,00h,00228-01919.roi,0.0
C5,00h,00229-02016.roi,0.0
C5,00h,00230-02092.roi,0.0
C5,00h,00231-01885.roi,0.0
C5,00h,00232-01920.roi,30.0
C5,00h,00233-01842.roi,0.0
C5,00h,00234-01881.roi,0.0
C5,00h,00235-01875.roi,0.0
C5,00h,00236-01897.roi,0.0
C5,00h,00237-02046.roi,0.0
C5,00h,00238-01958.roi,0.0
C5,00h,00239-02018.roi,37.0
C5,00h,00240-01950.roi,0.0
C5,00h,00241-01998.roi,24.0
C5,00h,00242-01972.roi,0.0
C5,00h,00243-01983.roi,0.0
C5,00h,00244-02031.roi,0.0
C5,00h,00245-02223.roi,253.0
C5,00h,00246-01965.roi,0.0
C5,00h,00247-01988.roi,0.0
C5,00h,00248-02046.roi,22.0
C5,00h,00249-02022.roi,0.0
C5,00h,00250-02009.roi,0.0
C5,00h,00251-02356.roi,0.0
C5,00h,00252-02022.roi,0.0
C5,00h,00253-02008.roi,0.0
C5,00h,00254-02060.roi,0.0
C5,00h,00255-02250.roi,281.0
C5,00h,00256-02432.roi,788.0
C5,00h,00257-02697.roi,1922.0
C5,00h,00258-02129.roi,0.0
C5,00h,00259-02286.roi,63.0
C5,00h,00260-02073.roi,0.0
C5,00h,00261-02134.roi,0.0
C5,00h,00262-02109.roi,0.0
C5,00h,00263-02698.roi,2716.0
C5,00h,00264-02529.roi,1453.0
C5,00h,00265-02289.roi,0.0
C5,00h,00266-02156.roi,0.0
C5,00h,00267-02450.roi,0.0
C5,00h,00268-02552.roi,0.0
C5,00h,00269-02158.roi,0.0
C5,00h,00270-02208.roi,0.0
C5,00h,00271-02776.roi,4286.0
C5,00h,00272-02182.roi,0.0
C5,00h,00273-02184.roi,22.0
C5,00h,00274-02198.roi,0.0
C5,00h,00275-02224.roi,0.0
C5,00h,00276-02195.roi,0.0
C5,00h,00277-02436.roi,70.0
C5,00h,00278-02263.roi,0.0
C5,00h,00279-02242.roi,0.0
C5,00h,00280-02244.roi,0.0
C5,00h,00281-02318.roi,0.0
C5,00h,00282-02339.roi,0.0
C5,00h,00283-02259.roi,0.0
C5,00h,00284-02266.roi,0.0
C5,00h,00285-02707.roi,916.0
C5,00h,00286-02278.roi,0.0
C5,00h,00287-02337.roi,0.0
C5,00h,00288-02398.roi,0.0
C5,00h,00289-02331.roi,0.0
C5,00h,00290-02389.roi,0.0
C5,00h,00291-02424.roi,41.0
C5,00h,00292-02551.roi,0.0
C5,00h,00293-02417.roi,0.0
C5,00h,00294-02482.roi,56.0
C5,00h,00295-02419.roi,0.0
C5,00h,00296-02443.roi,0.0
C5,00h,00297-02517.roi,0.0
C5,00h,00298-02595.roi,38.0
C5,00h,00299-02451.roi,0.0
C5,00h,00300-02558.roi,57.0
C5,00h,00301-02521.roi,0.0
C5,00h,00302-02539.roi,0.0
C5,00h,00303-02627.roi,0.0
C5,00h,00304-02565.roi,0.0
C5,00h,00305-02595.roi,0.0
C5,00h,00306-02662.roi,14.0
C5,00h,00307-02620.roi,0.0
C5,00h,00308-03163.roi,0.0
C5,00h,00309-02670.roi,0.0
C5,00h,00310-02620.roi,0.0
C5,00h,00311-02663.roi,0.0
C5,00h,00312-02721.roi,0.0
C5,00h,00313-02665.roi,0.0
C5,00h,00314-02634.roi,0.0
C5,00h,00315-02874.roi,48.0
C5,00h,00316-02666.roi,0.0
C5,00h,00317-02740.roi,56.0
C5,00h,00318-02676.roi,0.0
C5,00h,00319-02694.roi,0.0
C5,00h,00320-02695.roi,0.0
C5,00h,00321-02868.roi,0.0
C5,00h,00322-02752.roi,0.0
C5,00h,00323-02731.roi,0.0
