Chip,Hour,Droplet,Bacteria Count
C4,00h,00001-00361.roi,1395.0
C4,00h,00002-00006.roi,0.0
C4,00h,00003-00410.roi,1486.0
C4,00h,00004-00069.roi,89.0
C4,00h,00005-00169.roi,87.0
C4,00h,00006-00145.roi,267.0
C4,00h,00007-00062.roi,38.0
C4,00h,00008-00068.roi,0.0
C4,00h,00009-00009.roi,0.0
C4,00h,00010-00213.roi,471.0
C4,00h,00011-00092.roi,39.0
C4,00h,00012-00008.roi,0.0
C4,00h,00013-00011.roi,0.0
C4,00h,00014-00020.roi,21.0
C4,00h,00015-00474.roi,2889.0
C4,00h,00016-00046.roi,5.0
C4,00h,00017-00039.roi,0.0
C4,00h,00018-00234.roi,113.0
C4,00h,00019-00198.roi,41.0
C4,00h,00020-00369.roi,932.0
C4,00h,00021-00016.roi,0.0
C4,00h,00022-00012.roi,0.0
C4,00h,00023-00002.roi,0.0
C4,00h,00024-00163.roi,84.0
C4,00h,00025-00325.roi,453.0
C4,00h,00026-00017.roi,0.0
C4,00h,00027-00279.roi,0.0
C4,00h,00028-00084.roi,0.0
C4,00h,00029-00160.roi,0.0
C4,00h,00030-00082.roi,0.0
C4,00h,00031-00038.roi,0.0
C4,00h,00032-00050.roi,0.0
C4,00h,00033-00048.roi,0.0
C4,00h,00034-00093.roi,0.0
C4,00h,00035-00081.roi,0.0
C4,00h,00036-00143.roi,0.0
C4,00h,00037-00109.roi,0.0
C4,00h,00038-00711.roi,3565.0
C4,00h,00039-00696.roi,3861.0
C4,00h,00040-00539.roi,1244.0
C4,00h,00041-00381.roi,0.0
C4,00h,00042-00307.roi,370.0
C4,00h,00043-00216.roi,32.0
C4,00h,00044-00113.roi,0.0
C4,00h,00045-00169.roi,0.0
C4,00h,00046-00155.roi,0.0
C4,00h,00047-00140.roi,0.0
C4,00h,00048-00140.roi,0.0
C4,00h,00049-00172.roi,0.0
C4,00h,00050-00195.roi,0.0
C4,00h,00051-00239.roi,0.0
C4,00h,00052-00275.roi,0.0
C4,00h,00053-00322.roi,97.0
C4,00h,00054-00279.roi,0.0
C4,00h,00055-00221.roi,0.0
C4,00h,00056-00236.roi,0.0
C4,00h,00057-00271.roi,0.0
C4,00h,00058-00237.roi,0.0
C4,00h,00059-00219.roi,0.0
C4,00h,00060-00307.roi,48.0
C4,00h,00061-00257.roi,0.0
C4,00h,00062-00304.roi,0.0
C4,00h,00063-00247.roi,0.0
C4,00h,00064-00259.roi,0.0
C4,00h,00065-00426.roi,71.0
C4,00h,00066-00249.roi,0.0
C4,00h,00067-00268.roi,0.0
C4,00h,00068-00525.roi,290.0
C4,00h,00069-00732.roi,982.0
C4,00h,00070-00390.roi,51.0
C4,00h,00071-00271.roi,0.0
C4,00h,00072-00664.roi,1435.0
C4,00h,00073-00285.roi,0.0
C4,00h,00074-00346.roi,0.0
C4,00h,00075-00553.roi,968.0
C4,00h,00076-00424.roi,0.0
C4,00h,00077-00356.roi,0.0
C4,00h,00078-00395.roi,0.0
C4,00h,00079-00344.roi,0.0
C4,00h,00080-00414.roi,0.0
C4,00h,00081-00401.roi,85.0
C4,00h,00082-00387.roi,0.0
C4,00h,00083-00412.roi,0.0
C4,00h,00084-00395.roi,0.0
C4,00h,00085-00528.roi,0.0
C4,00h,00086-00400.roi,0.0
C4,00h,00087-00522.roi,86.0
C4,00h,00088-00485.roi,0.0
C4,00h,00089-00548.roi,0.0
C4,00h,00090-00429.roi,0.0
C4,00h,00091-00631.roi,80.0
C4,00h,00092-00551.roi,0.0
C4,00h,00093-00552.roi,0.0
C4,00h,00094-00519.roi,0.0
C4,00h,00095-00823.roi,1354.0
C4,00h,00096-00508.roi,0.0
C4,00h,00097-00511.roi,0.0
C4,00h,00098-00541.roi,0.0
C4,00h,00099-00585.roi,0.0
C4,00h,00100-00524.roi,0.0
C4,00h,00101-00619.roi,36.0
C4,00h,00102-00531.roi,0.0
C4,00h,00103-00539.roi,0.0
C4,00h,00104-00594.roi,41.0
C4,00h,00105-00551.roi,0.0
C4,00h,00106-00566.roi,0.0
C4,00h,00107-00593.roi,0.0
C4,00h,00108-00675.roi,0.0
C4,00h,00109-01160.roi,1478.0
C4,00h,00110-00588.roi,0.0
C4,00h,00111-00610.roi,0.0
C4,00h,00112-00613.roi,0.0
C4,00h,00113-00626.roi,0.0
C4,00h,00114-00691.roi,0.0
C4,00h,00115-00633.roi,0.0
C4,00h,00116-00636.roi,0.0
C4,00h,00117-00974.roi,329.0
C4,00h,00118-00675.roi,0.0
C4,00h,00119-00636.roi,0.0
C4,00h,00120-00753.roi,0.0
C4,00h,00121-00682.roi,0.0
C4,00h,00122-00684.roi,0.0
C4,00h,00123-00767.roi,0.0
C4,00h,00124-00655.roi,0.0
C4,00h,00125-00667.roi,0.0
C4,00h,00126-00786.roi,0.0
C4,00h,00127-00784.roi,0.0
C4,00h,00128-00686.roi,0.0
C4,00h,00129-00771.roi,38.0
C4,00h,00130-01251.roi,2909.0
C4,00h,00131-00716.roi,0.0
C4,00h,00132-00868.roi,0.0
C4,00h,00133-00959.roi,60.0
C4,00h,00134-00743.roi,0.0
C4,00h,00135-00896.roi,177.0
C4,00h,00136-00749.roi,0.0
C4,00h,00137-01053.roi,0.0
C4,00h,00138-00759.roi,0.0
C4,00h,00139-00757.roi,0.0
C4,00h,00140-00946.roi,0.0
